sep=;
ID;Título;Precio Transferencia;Precio Efectivo
prod-fichas-utp-rj45-cat-6-869;Fichas UTP RJ45 Cat 6;$ 1.000,00;$ 600,00
prod-pulsera-antiestatica-reparacio-166;Pulsera Antiestatica Reparacion Electronica Pc / Celular /equipo Sin Riesgo;$ 7.500,00;$ 5.500,00
prod-carry-disk-case-evox-usb-3-0-s-953;Carry Disk Case Evox Usb 3.0 Sata 2.5 Notebook Disco Hdd / Sdd;$ 10.500,00;$ 9.000,00
prod-cable-kelyx-usb-type-c-a-type--201;Cable Kelyx Usb Type C A Type C 240w;$ 10.000,00;$ 9.000,00
prod-cabezal-para-iphone-certificad-348;Cabezal para iphone Certificado 5w;$ 4.000,00;$ 4.000,00
prod-cargador-orix-3-1amp-carga-rap-244;Cargador Orix 3.1amp Carga Rapida;$ 2.500,00;$ 1.700,00
prod-cargador-lets-3-1amp-1-usb-neg-672;Cargador Lets 3.1amp 1 Usb Negro/Blanco;$ 3.000,00;$ 2.000,00
prod-usb-only-datos-y-carga-rapida-792;Usb Only Datos Y Carga Rapida;$ 1.000,00;$ 600,00
prod-rc-t00-tipo-c-cable-usb-carga--909;RC-T00 TIPO C -CABLE USB CARGA RAPIDO 5A TIPO C ROYALCELL;$ 1.500,00;$ 1.100,00
prod-cargador-lion-3-1-147;Cargador Lion 3.1;$ 3.000,00;$ 2.000,00
prod-notebook-kelyx-15-6-fhd-amd-ry-513;"Notebook Kelyx 15.6"" FHD AMD Ryzen 7-5825U 16Gb M.2 512Gb Win 11 Home Gris Oscuro";$ 1.027.000,00;$ 1.000.000,00
prod-notebook-kelyx-15-6-fhd-amd-ry-211;"Notebook Kelyx 15.6"" FHD AMD Ryzen 5-7430U 8Gb M.2 256Gb Win 11 Home Gris Oscuro";$ 818.000,00;$ 790.000,00
prod-mini-pc-kelyx-intel-core-i3-12-474;Mini Pc Kelyx Intel Core i3-1215U 8G M.2 256G Win 11 Pro;$ 645.500,00;$ 638.000,00
prod-pc-raptor-vortex-r5-5600gt-694;PC RAPTOR VORTEX R5 5600GT;$ 702.500,00;$ 702.500,00
prod-pc-raptor-thunderstrike-white--287;PC RAPTOR THUNDERSTRIKE WHITE R5 5600GT;$ 901.500,00;$ 901.500,00
prod-1778107250638;Fuente Raptor Volt 500W 80 Plus Bronze;$ 67.500,00;$ 59.000,00
prod-1778107461514;Fuente Raptor Volt 500W 80 Plus Silver Negro;$ 75.500,00;$ 69.000,00
prod-1778107677885;Fuente Raptor Volt 500W 80 Plus Silver Blanco;$ 75.500,00;$ 69.000,00
prod-1778107843112;Fuente MSI MAG A650BN 650W 80 Plus Bronze;$ 88.000,00;$ 82.500,00
prod-1778108764096;Pen Drive KINGSTON 128GB USB 3.2 DTXS;$ 33.500,00;$ 30.000,00
prod-1778108906292;Pen Drive HIKSEMI 32Gb M200 Classic USB 3.0;$ 18.000,00;$ 16.000,00
prod-1778109111754;Memoria DDR5 Corsair 8Gb 5200 MHz;$ 256.000,00;$ 242.000,00
prod-1778109779891;Memoria DDR5 HIKSEMI 16Gb 5600 MHz Hiker;$ 369.500,00;$ 369.500,00
prod-1778110392369;Auricular Gamer Raptor Inferno PRO RGB 7.1 USB Negro;$ 51.500,00;$ 48.000,00
prod-1778110757189;Auricular Gamer Raptor Inferno PRO X 7.1 Wireless c/Dongle Blanco;$ 69.500,00;$ 64.500,00
prod-1778110912793;Auricular Gamer Raptor Inferno PRO X 7.1 Wireless c/Dongle Negro;$ 71.000,00;$ 67.000,00
prod-1778111074434;AURICULAR JBL QUANTUM 100M2 GAMING SURROUND NEGRO;$ 71.500,00;$ 68.000,00
prod-1778111203498;Headset gamer Aimzone camuflado Gris AZ707;$ 26.000,00;$ 20.000,00
prod-1778111291760;Headset gamer Aimzone camuflado yellow AZ707;$ 26.000,00;$ 20.000,00
prod-1778111498074;Teclado Gamer Raptor Fireclaw M87 Mecanico Retroiluminado Switch Red Outemu;$ 36.500,00;$ 33.500,00
prod-1778158513082;Teclado Gamer Raptor Fireclaw M87 Mecanico Retroiluminado Switch Red Outemu White;$ 38.000,00;$ 35.000,00
prod-1778158810879;Teclado Gamer Raptor Fireclaw M68 Mecanico Retroiluminado Switch Red Outemu White;$ 37.000,00;$ 34.000,00
prod-1778159030799;Teclado Gamer Raptor Fireclaw M68 Mecanico Retroiluminado Switch Red Outemu;$ 37.000,00;$ 33.500,00
prod-1778159153127;TECLADO GENIUS USB KB-113 BLACK SP;$ 10.500,00;$ 10.000,00
prod-1778159782040;Soporte Base Stand Ajustable De Escritorio Auriculares Gamer;$ 11.000,00;$ 10.000,00
prod-1778160628410;Torreta Y Tornillo Disco Ssd M2 P/ Mother Pc M.2;$ 2.000,00;$ 1.500,00
prod-1778160796872;Tornillos para PC Varios modelos;$ 500,00;$ 300,00
prod-1778161133173;P4 - JOYSTICK PS4 BOUBLE-MOTOR VIBRATION 4 WIRELESS CONTROLLER;$ 26.000,00;$ 23.000,00
prod-1778161292159;Mouse Logitech G203 Gaming Lightsync White;$ 33.500,00;$ 30.500,00
prod-1778161513682;Mouse Razer Deathadder Essential Ergonomic White Edition;$ 39.000,00;$ 36.000,00
prod-1778163218334;MOUSE MLOGIX MG10K ARCHER RGB 10000 DPI;$ 11.000,00;$ 9.500,00
prod-1778163326896;MOUSE MLOGIX MG32 LANCER RGB 3200 DPI;$ 9.500,00;$ 8.000,00
prod-1778163628444;Carry Disk Case Usb 3.0 Sata 2.5 Notebook Disco Sdd / Hdd;$ 10.500,00;$ 9.000,00
prod-1778164483674;CH-EX-QFABA Estuche Portatil Para Cable Disco Externo Carry 2,5 Evox Negro;$ 7.000,00;$ 6.000,00
prod-1778164974144;Cable Splitter Para Coolers 4-3 Pines Pwm 1 X 4 Mother;$ 8.000,00;$ 7.000,00
prod-1778165311191;Hub Aluminio Usb 3.0 Multiplicador 4 Puertos Alta Velocidad Color Plateado;$ 9.000,00;$ 7.500,00
prod-1778165654143;Parlantes Para Pc Notebook Netbook Audio Usb Mini Plug Noga Ng-106 Negro USB;$ 8.000,00;$ 6.500,00
prod-1778167555237;Blister X5 pilas  Para PC CR2032;$ 2.000,00;$ 1.500,00
prod-1778170881554;Extractor De Switches Puller Para Teclado Mecanico;$ 8.500,00;$ 7.000,00
prod-1778171188148;Kit Switches Kailh Regular Blue Vsg Mecánico Clicky Azul;$ 1.000,00;$ 600,00
prod-1778171372864;Pila para mother cr2032;$ 500,00;$ 500,00
prod-1778171607065;Cable de Red Cat6 Interior Kelyx por Metro;$ 1.000,00;$ 600,00
